_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Communities,Attorney General,Brampton,Brampton (A. Grenville and William Davis) Courthouse Addition - Phase 2,Complete,December 2023,"Fit-out of the top four floors of the building addition, as well as renovations to the Land Registry Office. This project is being  delivered  with the Toronto Region Bail Centre as a P3 bundle, and the project budget of $82.3M includes both projects.","Increased number of courtrooms and associated administrative spaces, as well as additional judicial parking spaces.",Peel,Central,7755 Hurontario Street,L6W 4T1,,"$82,500,000",,Yes,,,,43.661701,-79.726047
2,Communities,Attorney General,Fort Frances,Fort Frances Courthouse - Security  Improvements,Planning,September 2024,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Rainy River,Northwest,333 Church Street,P9A 1C9,,0,,Yes,,,,,
3,Communities,Attorney General,Gore Bay,Gore Bay Courthouse - New Courtroom,Planning,To Be Determined,Creating new courtroom that is accessible.,Improved access to justice.,Manitoulin,Northeast,27 Phipps Street,P0P 1H0,,0,,Yes,,,,,
4,Communities,Attorney General,Peterborough,Planning for new courthouse in Peterborough,Complete,November 2017,Plan to replace old courthouse,Plan will inform future Ontario Court of Justice and Superior Court of Justice needs in the community,Peterborough,East,,,,0,,Yes,,,,44.304996,-78.32616
5,Communities,Attorney General,Peterborough,Peterborough Courthouse - New Courtroom,Planning,To Be Determined,Construction of new space at 470 Water Street and  renovation of space at 70 Simcoe Street which includes a new courtroom.,"Improved accessibility, security and access to justice with an additional courtroom.",Peterborough,East,70 Simcoe St,K9H 7G9,,0,,Yes,,,,,
6,Communities,Attorney General,Sudbury,Sudbury Courthouse - Security Improvements,Planning,October 2025,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Sudbury,Northeast,155 Elm Street,P3C 1T6,,0,,Yes,,,,,
7,Communities,Attorney General,Toronto,Moving all Toronto-based Attorney General agencies and tribunals into one location,Complete,July 2019,Renovating building at 25 Grosvenor St.,Centralized Tribunal operations will reduce energy use and footprint of ministry in Toronto,Toronto,Central,25 Grosvenor St,,,0,,Yes,,,,43.662665,-79.385172
8,Communities,Attorney General,Toronto,New courthouse in Toronto,Complete,January 2023,New provincial courthouse,Improved justice services to Torontonians in state-of-the-art facility,Toronto,Central,10 Armoury St,,,"$956,400,000",,Yes,,,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/new-toronto-courthouse/,43.653618,-79.3862
9,Communities,Attorney General,Toronto,Toronto Region Bail Centre,Complete,December 2022,"Renovation of existing courthouse at 2201 Finch Ave. W.  This project is being  delivered  with the Brampton Courthouse Addition Phase 2 as a P3 bundle, and the project budget of $82.3M includes both projects.",Accommodation of the bail program associated with the new Toronto courthouse. ,Toronto,Central,2201 Finch Ave. W.,M9M 2Y9,,"$82,500,000",,Yes,,,,43.752606,-79.536505
10,Communities,"Children, Community and Social Services",Ajax,Grandview Children's Centre,Under construction,August 2024,New construction of a children's treatment centre in Ajax.,"The new centre will create more treatment spaces, shorter wait times and a modern facility so that families can access the care they need sooner.",Durham,Central,1461 Harwood Ave North,L1T 4T9,,"$31,000,000",,Yes,Yes,Yes,https://www.news.ontario.ca/en/backgrounder/52484/grandview-childrens-centre-redevelopment-project,43.879,-79.03
11,Communities,"Children, Community and Social Services",Attawapiskat First Nation,Attawapiskat Youth Centre,Complete,April 2018,Convert old band office into a youth centre,Improve outcomes for youth in Attawapiskat,Kenora,Northwest,,,,"$1,200,000",,Yes,,,http://www.attawapiskat.org/,52.55,-82.26
12,Communities,"Children, Community and Social Services",Brampton,ErinoakKids Centre for Treatment and Development,Complete,January 2018,Construction of new building,"At 121,000 sq. ft., new centre to include 26-bed respite house therapy pool and adapted fitness facility, two accessible playgrounds and more for children with special needs and their families",Peel,Central,10145 McVean Dr,L6P 4K7,,"$64,640,000",,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Brampton-site.aspx,43.78324,-79.701581
13,Communities,"Children, Community and Social Services",Cobourg,Five Counties Children's Treatment Centre ,Complete,July 2017,Retrofit of building,Consolidate and enhance community hub,Northumberland,East,800 Division St.,K9A 5V2,,"$490,000",,Yes,,Yes,http://www.fivecounties.on.ca/,43.9748,-78.17
14,Communities,"Children, Community and Social Services",Dryden,Hoshizaki House Crisis Shelter,Complete,December 2018,Demolition and reconstruction of building,"New 8,000 sq. ft. (approx.) VAW shelter with parking lot, site access and landscaping to provide better, more secure and accessible facilities",Kenora,Northwest,Address is confidential,,,"$3,100,000",,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2016/governments-of-canada-and-ontario-build-new-violence-against-women-emergency-shelter-for-victims-of,,
