_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Child care,Education,Addington Highlands,North Addington Education Centre Public Elementary School,Complete,December 2018,Renovation of existing school,Renovation to accommodate 41 child care spaces,Lennox and Addington,East,14196 HWY 41,K0H1K0,,"$945,319",,Yes,,,,44.81607,-77.18565
2,Child care,Education,Ajax,Roméo Dallaire Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 73 child care spaces,Durham,Central,300 WILLIAMSON DR E,L1Z0H6,,"$1,008,340",,Yes,,Yes,,43.89823,-79.01472
3,Child care,Education,Ajax,St. Josephine Bakhita Catholic Elementary School,Complete,September 2017,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,51 WILLIAMSON DR E,L1T0B4,,"$1,482,852",,Yes,,Yes,,43.89132,-79.03197
4,Child care,Education,Ajax,Dr Roberta Bondar Public Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Durham,Central,25 SULLIVAN DR,L1T3L3,,"$898,164",,Yes,,,,43.87113,-79.03333
5,Child care,Education,Ajax,Roland Michener Public Elementary School,Complete,October 2020,Renovation of existing school,Renovation to accommodate 10 child care spaces,Durham,Central,95 RITCHIE AVE,L1S6S2,,"$252,086",,Yes,,,,43.85407,-79.0382
6,Child care,Education,Ajax,St. Teresa of Calcutta Catholic Elementary School,Complete,January 2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Durham,Central,15 FISHLOCK ST,L1Z1H1,,"$2,304,653",,Yes,,,,43.8762,-79.0302
7,Child care,Education,Ajax,Lakeside Public Elementary School,Complete,October 2022,Renovation of existing school,Renovation to accommodate 30 child care spaces,Durham,Central,4 PARKES DR,L1S4X1,,"$908,212",,Yes,,,,43.82344,-79.02777
8,Child care,Education,Alfred and Plantagenet,École élémentaire catholique Saint-Joseph,Complete,March 2024,Expansion of existing school,Addition to accommodate 10 child care spaces,Prescott and Russell,East,3250 RUE PRINCIPALE,K0A3K0,,"$524,337",,Yes,Yes,,,45.57206,-75.13025
9,Child care,Education,Alnwick-Haldimand,Grafton Licensed Child Care Family Grouping,Complete,September 2018,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces and 1 community-based EarlyON room,Northumberland,East,718 STATION ST,K0K2G0,,"$515,000",,Yes,,,,43.990089,-78.02302
10,Child care,Education,Amherstburg,Stella Maris Catholic Elementary School,Complete,February 2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Essex,Southwest,140 GIRARD ST,N9V2X3,,"$2,117,517",,Yes,,,,42.11563,-83.10671
11,Child care,Education,Asphodel-Norwood,Norwood District Public Secondary School,Complete,April 2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,Peterborough,East,44 ELM ST,K0L2V0,,"$949,999",,Yes,Yes,Yes,,44.38282,-77.97247
12,Child care,Education,Assiginack,Assiginack Public Elementary School,Complete,September 2019,Expansion of existing school,Addition to accommodate 15 child care spaces and 1 EarlyON room,Manitoulin,Northeast,134 MICHAELS BAY RD,P0P1N0,,"$1,310,844",,Yes,,Yes,,45.74619818,-81.81125655
13,Child care,Education,Aurora,Aurora Children's,Complete,September 2020,Expansion of existing building,Addition to accommodate 127 community-based child care spaces,York,Central,18335 LESLIE ST,L9N0M3,,"$3,000,000",,Yes,,,,43.962218,-79.467054
14,Child care,Education,Aurora,Social Enterprise for Canada Aurora EarlyON,Complete,September 2019,Expansion of existing building,Addition to accommodate 2 community-based EarlyON rooms,York,Central,140 ENGELHARD DRIVE,L4G6X6,,"$300,000",,Yes,,,,43.990408,-79.455347
15,Child care,Education,Aylmer,Assumption Catholic Elementary School,Under construction,September 2024,Renovation of existing school,Renovation to accommodate 49 child care spaces,Elgin,Southwest,42 SOUTH ST E,N5H1P6,,"$2,999,127",,Yes,,Yes,,42.77007,-80.98351
16,Child care,Education,Barrie,St. Monica's Catholic Elementary School,Under construction,2024,Expansion of existing school,Addition to accommodate 39 child care spaces,Simcoe,Central,90 STEEL ST,L4M2E9,,"$1,028,508",,Yes,,,,44.4026,-79.66589
17,Child care,Education,Barrie,École élémentaire publique La Source,Complete,September 2022,Expansion of existing school,Addition to accommodate 39 child care spaces and 1 EarlyON room,Simcoe,Central,70 MADELAINE DR,L4N9T2,,"$1,428,508",,Yes,Yes,,,44.35183,-79.64351
