_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Education,Colleges and Universities,Barrie,"Georgian College - Advanced Technology, Innovation and Research Centre",Complete,October 2018,Modernizing facilities,"Adding 60,000 sq. ft. to support engineering labs, multi-use technology classrooms, research commercialization and maker spaces",Simcoe,Central,1 Georgian Dr,L4M 3X9,,"$27,700,000",,Yes,Yes,Yes,,44.412167,-79.668206
2,Education,Colleges and Universities,Belleville,Loyalist College Health and Wellness Centre Renovation,Complete,April 2018,Renovation of existing space for new Health and Wellness Centre and renovations to 3rd floor main campus.,"Upgrades to the building shell and systems will improve the learning environment, increase accessibility, and meet sustainability/energy efficiency goals.  Installation of simulation equipment will strengthen learning partnerships with local health care agencies.",Hastings,East,376 Wallbridge-Loyalist,K8N 5B9,,"$3,200,000",,Yes,Yes,Yes,,44.177,-77.389367
3,Education,Colleges and Universities,Greater Sudbury,Laurentian University - Campus Modernization,Complete,April 2018,Renovating and expanding campus,"Adding 47,000 sq.ft. of space for research, innovation and commercialization activity, updating heating systems to reduce electricity consumption",Sudbury,Northeast,935 Ramsey Lake Rd,P3E 2C6,,"$60,700,000",,Yes,Yes,Yes,,46.466651,-80.974417
4,Education,Colleges and Universities,Greater Sudbury,Laurentian University - New McEwen School of Architecture,Complete,September 2016,Construction of new building and renovation of CP Rail and CP Telegraph buildings,Adding 2-storeys and renovated space to support teaching and learning in design/culture of northern Ontario,Sudbury,Northeast,85 Elm St,P3C 1T3,,0,,Yes,,Yes,,46.493067,-80.996585
5,Education,Colleges and Universities,Guelph,University of Guelph - Investing in the Future of Health & Veterinary Science projects,Complete,March 2021,Renovation and expansion,"Larger teaching classrooms and clinical research space; new space for computer-based case studies, simulators and more; renovating vet hospital for advanced surgery and anaesthesia",Wellington,Southwest,50 Stone Rd E,N1G 2W1,,"$37,650,000",,Yes,,Yes,,43.528436,-80.22352
6,Education,Colleges and Universities,Hamilton,"McMaster University - Arthur Bourns Building  - Repair, Retrofit, Addition, Campus COGEN",Complete,January 2019,Renovating and expanding research laboratories,"Adding 45,000 sq. ft. of space for research, innovation and commercialization",Hamilton,Central,1280 Main St,L8S 4L8,,"$78,225,000",,Yes,Yes,Yes,,43.260405,-79.92172
7,Education,Colleges and Universities,Hamilton,McMaster University - L.R. Wilson Hall for Studies in Humanities and Social Sciences,Complete,November 2016,Construction of new humanities and social sciences building,"Adding 177,927 sq.ft. of academic space",Hamilton,Central,1280 Main St,L8S 4L8,,"$45,500,000",,Yes,,Yes,,43.261943,-79.916687
8,Education,Colleges and Universities,Hamilton,Mohawk College - Partnership and Innovation Centre ,Complete,July 2018,Construction of new building,"New research and training centre focusing on energy, health and technologies such as digital health, additive manufacturing, robotics, and mechanotronics",Hamilton,Central,135 Fennell Ave W,L9C 1K9,,0,,,Yes,Yes,,43.23869,-79.888071
9,Education,Colleges and Universities,King,Seneca College - King Campus Expansion,Complete,May 2018,Campus expansion,"200,000 sq. ft. of new space, including classrooms, library, learning commons and more to support  1,500 more students",York,Central,13990 Dufferin St,L7B 1B3,,0,,Yes,,Yes,http://www.infrastructureontario.ca/Seneca-College-King-Campus-Expansion/,43.955689,-79.51003
10,Education,Colleges and Universities,Kingston,Queen's University - Botterell Hall Revitalization,Complete,November 2018,Renovation and expansion of building,"New biomedical research facility for more than 500 students, staff and researchers",Frontenac,East,10 Stuart St,K7L 2V5,,"$31,834,810",,Yes,Yes,Yes,,44.224388,-76.491475
11,Education,Colleges and Universities,Kingston,Queen's University - Innovation and Wellness Centre,Complete,November 2018,Renovating and expanding existing building,"New centre to house academic, recreational, student life and services (e.g. mental health) and an innovation hub for bioengineering, groundwater and environmental  research",Frontenac,East,69 Union St,K7L 2N9,,"$87,465,000",,Yes,Yes,Yes,http://www.queensu.ca/connect/innovationandwellness/,44.226158,-76.48569
12,Education,Colleges and Universities,Kingston,St. Lawrence College - SLC: HELLO Future - Where Innovation meets Revitalization,Complete,October 2018,"Renovating and expanding campus infrastructure, teaching and research  spaces","New health and fitness facilities, simulation labs, and other program space to support increased enrollment, especially among Indigenous students",Frontenac,East,100 Portsmouth Ave,K7L 5A6,,"$32,100,000",,Yes,Yes,Yes,,44.222576,-76.528369
13,Education,Colleges and Universities,Kitchener,"Conestoga College - Pathways to Prosperity: enhancing productivity to build stronger, more competitive communities",Complete,April 2018,Renovating and expanding existing building,"New centre for culinary, hospitality, recreation and tourism program",Waterloo,Southwest,299 Doon Valley Dr,N2G 4M4,,0,,Yes,Yes,Yes,,43.38986,-80.4048
14,Education,Colleges and Universities,London,"Western University - Faculty of Information and Media Studies (FIMS), the School of Nursing and Institute for Advanced Study",Complete,November 2016,Renovation of existing buildings,"Modernizing 118,400 sq. ft. of space to improve accessibility and energy efficiency",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,"$21,000,000",,Yes,,Yes,,43.00856,-81.2635
15,Education,Colleges and Universities,London,Western University - The Western Interdisciplinary Research Building (WIRB),Complete,April 2018,Construction of new building ,"Adding 130,000 sq. ft. of space to house Research Cluster for Cognitive Neuroscience, including Brain & Mind Institute, and the Rotman Institute of Philosophy",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008221,-81.262477
16,Education,Colleges and Universities,London,"Western University - Three C+ - an Innovation Centre to Connect, Collaborate, and Create",Complete,July 2018,Construction of new building ,"Adding 100,000 sq. ft. of space to support  interdisciplinary research in engineering and business",Middlesex,Southwest,1152 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008903,-81.261123
17,Education,Colleges and Universities,Mississauga,Sheridan College - Hazel McCallion Campus Expansion Phase II,Complete,November 2016,Expansion of building ,"3,200 additional fulltime students to use new classrooms, studios, labs, production and gallery space and more",Peel,Central,4180 Duke of York Blvd,L5B 0G5,,"$67,700,000",,Yes,,Yes,http://www.infrastructureontario.ca/Sheridan-College-Hazel-McCallion-Campus-Expansion/,43.59109,-79.6471
18,Education,Colleges and Universities,Mississauga,University of Toronto at Mississauga - North Building Reconstruction ,Complete,December 2016,Renovating North Building in three phases,"6-storey, 210,000-sq. ft.-space to house several departments and provide more flexible learning and social spaces",Peel,Central,3359 Mississauga Rd,L5L 1C6,,"$52,500,000",,Yes,,Yes,,43.54864,-79.6621
19,Education,Colleges and Universities,Niagara,Brock University Building Improvements ,Complete,October 2018,"Improvements to various building systems, including natural gas cogeneration systems, absorption chillers and water lines.","Upgrades to major building energy, water and cooling systems will increase energy efficiency and reduce utility costs and greenhouse gas emissions.",Niagara,Central,1812 Sir Isaac Brock Way,L2S 3A1,,"$10,377,528",,Yes,Yes,Yes,,43.117125,-79.243199
20,Education,Colleges and Universities,North Bay,Canadore College,Complete,October 2018,Will provide a new an innovative approach to educating the next generation of health professionals. ,"The facility will house the School of Health, Human Care and Wellness in addition to Student Success and Support Services and include new academic teaching space, a learning commons, flexible student activity rooms, collaborative study space, and event and service delivery space.  Upgrades to building systems will improve sustainability and energy efficiency.",Nipissing,Northeast,100 College Drive ,P1B 8K9,,"$12,500,000",,Yes,Yes,Yes,,46.343662,-79.492758
21,Education,Colleges and Universities,Oakville,Sheridan College - Partnering Across Boundaries: Bringing Global Leadership to Academic-Municipal Collaboration on District Energy,Complete,October 2018,Partnering with municipalities (Brampton and Oakville) to generate and share energy,District Energy Centre to be used for developing and testing local energy production,Halton,Central,1430 Trafalgar Rd,L6H 2L1,,"$21,400,000",,Yes,Yes,Yes,,43.468486,-79.700134
22,Education,Colleges and Universities,Oshawa,Durham College - Centre for Collaborative Education,Complete,April 2018,Construction of new building ,"Supporting global/local entrepreneurial approach to teaching and learning through aboriginal, entrepreneuship and student success centres",Durham,Central,2000 Simcoe St N,L1H 7K4,,"$35,000,000",,Yes,Yes,,https://www.durhamcollege.ca/centre-for-collaborative-education,43.945572,-78.89464
23,Education,Colleges and Universities,Oshawa,University of Ontario Institute of Technology (UOIT) - Software and Informatics Research Centre,Complete,December 2018,"New facility for health and business analytics, IT security, networking, gaming, and software engineering","82,000 sq. ft. of new space for teaching, research and registrar (bringing all services into one location)",Durham,Central,2000 Simcoe St N,L1H 7K4,,0,,Yes,Yes,Yes,https://www.uoit.ca/about/campus-buildings/north-oshawa/sirc/index.php,43.948324,-78.896926
24,Education,Colleges and Universities,Ottawa,"Algonquin College - Innovation, Entrepreneurship, Learning Centre and Institute for Indigenous Entrepreneurship",Complete,April 2018,Renovating library on Woodroffe campus,"Modernized space will include business incubator, makerspace and prototyping facilities, and new Centres of Excellence for Cyber Security and Energy Innovation (collaboration with Siemens Canada)",Ottawa,East,1385 Woodroffe Ave,K2G 1V8,,"$44,900,000",,Yes,Yes,Yes,,45.349784,-75.755431
25,Education,Colleges and Universities,Ottawa,Carleton University - Energy Retrofit and Modernization of Facilities,Complete,July 2018,Retrofits to several aging buildings on campus,Increased cost savings from reduction of energy and water use ,Ottawa,East,1125 Colonel By Dr,K1S 5B6,,"$20,465,299",,Yes,Yes,Yes,,45.385577,-75.69572
26,Education,Colleges and Universities,Ottawa,Carleton University - Institute for Advanced Research and Innovation in Smart Environments,Complete,November 2018,New construction and renovations/expansions to the Life Sciences Research Building,"New infrastructure and 34,500  sq.ft. expansion will support research, innovation, commercialization and experiential training in clean/health/information technologies. ",Ottawa,East,1125 Colonel By Dr,K1S 5B6,,0,,,Yes,Yes,,45.381267,-75.698028
27,Education,Colleges and Universities,Ottawa,La Cite collégiale - Place La Cité - Interdisciplinary Creativity Incubators,Complete,April 2018,Construction of new incubators,New space for research and development and commercialization,Ottawa,East,801 Aviation Pkwy,K1K 4R3,,"$29,000,000",,Yes,Yes,Yes,,45.440482,-75.636813
28,Education,Colleges and Universities,Ottawa,University of Ottawa - Learning Centre,Complete,January 2018,Construction of new building linked to existing Lamoureux Building,"7-storey facility with 35 classrooms, two 350-seat lecture halls, multi-media rooms, 800 study spaces and 350-seat food court",Ottawa,East,75 Laurier Ave E,K1N 6N5,,0,,Yes,,Yes,,45.423252,-75.68548
29,Education,Colleges and Universities,Ottawa,"University of Ottawa - Science, Technology, Engineering and Mathematics (STEM) complex",Complete,April 2018,Construction of new building to replace old and energy-inefficient buildings,"Almost 270,000 sq. ft. of new class, lab, workshop, study, office space, plus a lecture theatre ",Ottawa,East,75 Laurier Ave E,K1N 6N5,,"$115,000,000",,Yes,Yes,Yes,,45.42325,-75.6827
30,Education,Colleges and Universities,St. Catharines,Brock University - Goodman School of Business,Complete,December 2018,Expansion and renovation ,"Adding 27,220 sq. ft. and renovating 25,000 sq. ft. of class, seminar and office space",Niagara,Central,1812 Sir Isaac Brock Way,L2S 3A1,,"$26,130,766",,Yes,,Yes,,43.119064,-79.248241
