_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Health care,Health,Atikokan,Atikokan General Hospital - Renovation and Expansion,Complete,July 2017,"Renovating roughly 8,500 sq. ft. and adding roughly 10,000 sq. ft.","More space for 11 acute-care and other types of beds, as well as improved air handling, boiler and sprinkler systems",Rainy River,Northwest,120 Dorothy St,P0T 1C0,,0,,Yes,,Yes,,48.753595,-91.598441
2,Health care,Health,Barrie,The Royal Victoria Hospital of Barrie - Phase 1 Redevelopment,Complete,August 2013,Construction of  4 bunker-3 machines at the Simcoe Muskoka Regional Cancer Centre (SMRCC) and the Phase 1 redevelopment of the Royal Victoria Hospital. ,"An additional 101 inpatient beds, expanded emergency and ambulatory care, two new operating rooms as well as enhancements to related services such as laboratory and diagnostic imaging. ",Simcoe,Central,201 Georgian Dr,L4M 6M2,,"$372,605,793",,Yes,,Yes,,44.415046,-79.662803
3,Health care,Health,Barrie,Royal Victoria Regional Health Centre - PET-CT Scanner,Complete,February 2024,na,na,Simcoe,Central,201 Georgian Dr,L4M 6M2,,0,,,,,,44.415046,-79.662803
4,Health care,Health,Belleville,Quinte Healthcare Corporation Renovation,Complete,February 2017,Renovations to the medical device reprocessing department (MDRD) and central sterilization room.,"Improved infection control, and enhanced preventive maintenance capabilities.",Hastings,East,265 Dundas Street East,K8N 5A9,,0,,Yes,,Yes,,44.162698,-77.364334
5,Health care,Health,Belleville,Quinte Healthcare Corp - Trenton Expansion and Redevelopment of Emergency Department,Planning,To Be Determined,na,na,Hastings,East,242 King St,K8V 5S6,,0,,Yes,,Yes,,44.11706578,-77.57988556
6,Health care,Health,Blind River,Anishnawbe Mushkiki AHAC - N'Mninoeayaa AHAC Site,Complete,March 2015,Construct a satellite building adjacent to the existing facility,Additional file storage and meeting space in Cutler.,Algoma,Northeast,473 ON-17,P0P 1B0,,"$609,200",,Yes,,,,46.187155,-82.924852
7,Health care,Health,Bradford-West Gwillimbury,Brant Community Healthcare System - Emergency Department Expansion Project,Under construction,March 2026,"Th Emergency Department  Expansion Project includes increased space including for:  treatment bays/rooms, extended stay area; and mental health safe rooms and observation area.  Also included is renovation of the walk-in arrival area (waiting/triage/registration and security); ambulance arrival and off-loading zone; and various clinical and non-clinical support spaces.   The project also includes a new Indigenous Services Suite.  This project is the first of two sequential projects involving the ED.","Reduce ED wait times, service improvements,  and address hallway medicine.",Simcoe,Central,200 Terrace Hill St.,N3R 1G9,,"$28,376,900",,Yes,,Yes,,43.15307991,-80.27616937
8,Health care,Health,Brampton,William Osler Health System - New Peel Memorial Centre for Integrated Health and Wellness,Complete,December 2016,Construction of a new centre,"Improved urgent care, ambulatory care, clinical support and corporate administrative services in Brampton",Peel,Central,20 Lynch St,L6W 2Z8,,"$538,347,570",,Yes,,Yes,http://www.infrastructureontario.ca/Peel-Memorial-Centre-for-Integrated-Health-and-Wellness/,43.690668,-79.751022
9,Health care,Health,Brampton,William Osler Health System - Peel Memorial Centre for Integrated Health Wellness – Phase 2 Redevelopment Lynch Site,Planning,March 2030,Construction of an addition to the newly built Phase 1 facility to accommodate non-acute inpatient services including complex continuing care and rehabilitation beds. William Osler Health System is planning to provide post-acute care at Peel Memorial Hospital for patients recovering from an acute care stay before they safely return home. Bringing this specialized care to Peel Memorial will enable more acute care beds to be added to Brampton Civic Hospital. ,Service expansion and Improved access to upgraded and modernized facilities.,Peel,Central,20 Lynch St,L6W 2Z8,,0,,Yes,,Yes,,43.690271,-79.751051
10,Health care,Health,Brock,Brock Community Health Centre - New Build Project,Under construction,August 2024,"The Brock CHC  project will create a purpose built facility. The new location will consolidate services (primary health care, diabetes education, community development and health promotion and geriatric assessments) currently located at multiple sites.  This project also includes a dental program and some space for Durham Community College.","This project will allow for consolidation of services, improve operational efficiencies, and to add additional space to allow for program and service delivery expansion.",Durham,Central,64 Cameron St. E,L0E 1E0,,"$16,574,200",,Yes,,Yes,,44.35148092,-79.03584713
11,Health care,Health,Brockville,"Brockville General Hospital - Renovation and Expansion for Mental Health, Complex Continuing Care and Rehabilitation",Complete,August 2020,Consolidating services from two locations into new 4-storey tower,"32 new inpatient beds for complex continuing care, acute mental health and rehabilitation",Leeds and Grenville,East,75 Charles St,K6V 1S8,,"$159,170,500",,Yes,,Yes,http://www.infrastructureontario.ca/Brockville-General-Hospital-Redevelopment-Project/,44.598169,-75.681639
12,Health care,Health,Brockville,Kingston Health Sciences Centre - Brockville Satellite Dialysis Centre,Planning,February 2026,na,na,Leeds and Grenville,East,"555 California Ave, Suite 8",K6V 5V6,,0,,Yes,,Yes,,44.61243396,-75.69239477
13,Health care,Health,Burlington,Joseph Brant Hospital - Renovation and Expansion,Complete,August 2018,Construction of new tower and renovations to existing building,"7-storey, 414,920 sq. ft.-tower and 128.225 sq. ft. of renovated space to increase inpatient, surgical and ICU beds and to support expanded services (e.g. specialized nursery, emergency)",Halton,Central,1230 North Shore Blvd E,L7S 1W7,,0,,Yes,,Yes,http://www.infrastructureontario.ca/Joseph-Brant-Hospital/,43.317192,-79.802582
14,Health care,Health,Cambridge,Cambridge Memorial Hospital - Renovation and Expansion,Under construction,September 2024,Renovation and new acute care wing,"Additional beds and increased program space, and infrastructure improvement.",Waterloo,Southwest,700 Coronation Blvd,N1R 3G2,,"$244,064,662",,Yes,,Yes,http://www.infrastructureontario.ca/Cambridge-Memorial-Hospital/,43.378066,-80.328309
15,Health care,Health,Carleton Place,Carleton Place District Memorial Hospital - Emergency Department Redevelopment,Under construction,2024,na,na,Lanark,East,211 Lake Ave. E,K7C1J4,,"$18,200,800",,Yes,,Yes,,45.14109002,-76.13674518
16,Health care,Health,Centre Wellington,New Groves Memorial Community Hospital,Complete,February 2020,"Construction of a new hospital located in Aboyne, between Fergus and Elora","New hospital of approximately 130,000 sq ft with 45 inpatient beds",Wellington,Southwest,235 Union St E,N1M 1W3,,"$144,336,500",,Yes,,Yes,http://www.infrastructureontario.ca/Groves-Memorial-Community-Hospital/,43.705509,-80.372819
17,Health care,Health,Chatham-Kent,"Chatham-Kent Health Alliance - Emergency Department, DI and Lab Project",Planning,July 2027,"This project is part of a phased redevelopment of the Wallaceburg site as a single-storey healthcare facility with 5 beds focused on emergency services, outpatient care including rehabilitation, and diagnostic imaging, laboratory. This phase of development at Wallaceburg will be the construction of new Emergency, DI and Laboratory Departments, which will add approx. 17,000 square feet of new space.","This project will expand space for the Emergency Department, replace aging infrasturcuture and improved ER services. ",Chatham-Kent,Southwest,"325 Margaret Ave,",N8A 2A7,,0,,Yes,,Yes,,42.60908175,-82.36755745
18,Health care,Health,Clarington,Lakeridge Health - Bowmanville Site Redevelopment ,Planning,January 2030,"Renovation and expansion for the emergency department, inpatient units, and the diagnostic imaging department at the Bowmanville site.",Expanded programs and services capacity ,Durham,Central,47 Liberty St S,L1C 2N4,,0,,Yes,,Yes,,43.908842,-78.677997
19,Health care,Health,Clarington,Lakeridge Health - Bowmanville Helipad interim Relocation - Interim project to the Bowmanville Redevelopment project,Under construction,2024,na,na,Durham,Central,Haines St & Basleline rd E,L1C 4R2,,"$1,039,200",,Yes,,Yes,,43.90605788,-78.66286192
20,Health care,Health,Collingwood,Collingwood General & Marine Hospital - Hospital Redevelopment,Planning,August 2035,The project includes renovation and will add to the current Hosptial on site. will relocate the hospital to a new site. ," The project will address aging infrastructure and allow for expansion of the intensive care, inpatient care, emergency, obstetrics and the operating suite.",Simcoe,Central,"459 Hume St, Collingwood",L9Y 1W9,,0,,Yes,,Yes,,44.50005257,-80.20349273
21,Health care,Health,Cornwall,Cornwall Community Hospital,Complete,November 2014,"Construction of a wing and renovations to consolidate all acute and rehabilitation hospital services from two sites onto the McConnell Avenue site. The redevelopment includes demolition of the existing west wing to accommodate new construction for the emergency room, diagnostic imaging, surgical suite, surgical daycare, sterile processing department and mechanical room.  ","Creation of 157 acute care, 20 acute mental health and 24 rehabilitation beds.  ","Stormont, Dundas and Glengarry",East,840 McConnell Ave,K6H 5S5,,"$115,476,892",,Yes,,Yes,,45.030316,-74.718353
22,Health care,Health,Dryden,Dryden Regional Health Centre - Satellite Renal (Hemodialysis) Unit,Planning,October 2026,na,na,Kenora,Northwest,58 Goodall St,P8N 2Z6,,0,,Yes,,Yes,,49.76977892,-92.83900285
23,Health care,Health,Durham,Markham Stouffville Hospital - Uxbridge Site Redevelopment Project,Planning,June 2030,The redevelopment project at the Uxbridge site involves construction of a new facility to replace the ageing 1959 hospital.,"Enhance patient safety, meet modern standards and improve patient access to inpatient and Diagnostic Imaging services.",Durham,Central,"4 Campbell Dr,",L9P 1S4,,0,,Yes,,Yes,,44.10360858,-79.12761968
24,Health care,Health,Espanola,Espanola Regional Hospital and Health Centre Emergency Department Expansion,Complete,June 2014,Renovations  to the emergency department,Increased capacity from 5 to 11 treatment bays,Sudbury,Northeast,825 McKinnon Dr,P5E 1R4,,0,,Yes,,Yes,,46.248285,-81.783185
25,Health care,Health,Fort Frances,Gizhewaadiziwin Health Access Centre - Renovation / Expansion Project,Planning,December 2026,"This project will renovate and expand the Gizhewaadiziwin Health Access Centre in Fort Francis, to bring existing space up to current standards and allow for program expansion.","The project wil allow for program expansion and an increase in capacity for existing services.  Using of an improved model of care hub multi-service model, this project will improve access to safety/security, access to mental health and addictions services and chronic disease management care.",Rainy River,Northwest,"1460 Idylwild Dr,",P9A 3M3,,0,,Yes,,,,48.63089192,-93.35955468
26,Health care,Health,Greater Napanee,Kingston Community Health Centres - Napanee and Area Satellite,Complete,September 2016,"A 19,000 gross square foot facility at 26 Dundas Street West in Napanee. ","The CHC will offer primary health care programs and services including individual, family and group therapy and indigenous programs for its catchment population. ",Lennox and Addington,East,26 Dundas Street West,K7R 1H6,,"$6,734,200",,Yes,,,,44.246659,-76.951797
27,Health care,Health,Greater Sudbury,Health Sciences North (formerly L'Hopital Regional de Sudbury Regional Hospital) - Northern Ontario School of Medicine,Complete,November 2021,"This project will build a state-of-the-art facility to serve as a training ground for future doctors, nurses, lab technicians, paramedics and other health professionals. The project includes spaces for academic administration, meeting / learning suites and a new Simulation Lab.",New and improved space for students in Northern Ontario School of Medicine,Sudbury,Northeast,41 Ramsey Lake Rd,P3E 5J1,,"$22,826,100",,Yes,,Yes,https://www.hsnsudbury.ca/portalen/,46.467734,-80.996267
28,Health care,Health,Greater Sudbury,St Joseph's Continuing Care Centre Of Sudbury - Rehabilitation Bed Expansion Project,Under construction,November 2024,na,na,Sudbury,Northeast,Lasalle Boulevard,P3A 1W7,,"$18,195,100",,Yes,,Yes,,46.52196792,-80.97981513
29,Health care,Health,Greater Sudbury,St Joseph's Continuing Care Centre Of Sudbury - Phase Two Rehabilitation Bed Expansion Project,Planning,September 2025,na,na,Sudbury,Northeast,1140 S Bay Rd,P3E 0B6,,0,,Yes,,Yes,,46.46673544,-80.96669052
30,Health care,Health,Grey Highlands,Grey Bruce Health Services - Markdale Hospital Redevelopment,Complete,May 2023,Replacement of old hospital with new  facility.,Expansion of service and infrastructure improvement.,Grey,Southwest,55 Isla St,N0C 1H0,,"$56,462,449",,Yes,,Yes,https://www.gbhs.on.ca/,44.318169,-80.650172
31,Health care,Health,Grimsby,Hamilton Health Sciences  - West Lincoln Memorial Hospital Redevelopment Project,Under construction,February 2025,"Construction of a new facility on the existing site to provide 61 inpatient beds and allow HHS to preserve emergency, obstetric, surgical and ambulatory services in the Grimsby area in a modern setting for infection prevention and control and improved patient flow and safety. ",Service expansion and Improved access to upgraded and modernized facilities.,Niagara,Central,169 Main St E,L3M 1P3,,"$240,546,800",,Yes,,Yes,,43.18845154,-79.54188454
32,Health care,Health,Guelph,Guelph General Hospital - Emergency Mental Health & Addiction Services Renovation & ED Expansion Phase 1,Planning,April 2026,na,na,Wellington,Southwest,115 Delhi St,N1E 4J4,,0,,Yes,,Yes,,43.55658562,-80.25330569
33,Health care,Health,Hamilton,Hamilton Health Sciences Centre - McMaster University Medical Centre Renovations,Complete,May 2017,Renovations at three different locations ,"34,000 sq. ft. of renovated space between MUMC and Hamilton General Hospital; 10,600 sq. ft. renovated at existing building to house West End Urgent Care Centre",Hamilton,Central,1200 Main St W,L8N 3Z5,,"$93,237,625",,Yes,,Yes,,43.259495,-79.91747
34,Health care,Health,Hamilton,Hamilton Health Sciences Centre - Stem Cell Expansion,Complete,July 2021,"The project will provide new private rooms and related support space at the Juravinski site. The new beds will accommodate patients receiving stem cell transplants and those with acute leukemia.  The adjacent Oncology Day Services will also be renovated and expanded to new treatment spaces. Pharmacy, clinic and laboratory storage space will also be expanded or renovated. ","Additional beds and increased program space, and infrastructure improvement.",Hamilton,Central,711 Concession St,L8V 1C3,,"$25,166,200",,Yes,,Yes,,43.2399,-79.8464
35,Health care,Health,Hamilton,St. Joseph's Healthcare (Hamilton) - Centre for Mountain Health Service,Complete,December 2013,"Construction of a new facility of approximately 800,000 square feet, to support existing longer-term mental health, forensics and acute mental health programs and services, expansion of forensic services, geriatric psychiatry and mental health rehabilitation","Increased capacity of inpatient beds from 214 to up to 305 along with all associated support services; expanded outpatient clinics for psychiatry, diagnostic imaging, medical services and education, etc. ",Hamilton,Central,50 Charlton Ave E,L8N 4A6,,"$1,091,189,022",,Yes,,Yes,,43.249229,-79.870265
