_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Recreation,Infrastructure,Adjala-Tosorontio,Accessibility Upgrades to 3 Municipal Public Parks,Complete,October 2022,"This project will upgrade 3 existing parks, by providing a play structure specifically designed for people with disabilities. The project provide universally accessible playgrounds, which will create a recreational setting to promote social integration among users of all abilities.The Township of Adjala-Tosorontio is requesting funding to undertake accessibility upgrades to 3 public parks, including the construction of universally accessible play structures and accessible pathways from the parking lot in accordance with the Accessibility for Ontarians with Disabilities Act, 2005.Currently, there are no universally accessible play structures in the Township, which is predominantly a rural community with a population of about 10,000 residents. This would mark the Township’s first universally accessible outdoor recreational facilities and provide an inclusive social setting for families and people with disabilities within our community.",,Simcoe,Central,7855 Sideroad 30,L9R1V1,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.246169,-80.021502
2,Recreation,Infrastructure,Ajax,Ajax Community Centre (ACC) Basketball Court Upgrade,Planning,August 2025,"As part of the Downtown Ajax Sports Campus, the basketball court offers public space for basketball activities. The court was designed and constructed in 2003 and is reaching the end of its useful life. This project will allow the Town to incorporate state of the art components in the way of accessibility and park elements to enhance the usage of the space and encourage youth and persons with accessibility needs to participate in basketball-related activities.The scope of this project exclusively pertains to a retrofit of the existing basketball court to replace the pavement, upgrade the lighting and incorporate accessibility-enhancing features in the interest of public safety.This project will allow the ACC basketball court to continue to serve its users, including the public (primarily youth) and through Town-sponsored camps and tournaments.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.837342,-79.02019
3,Recreation,Infrastructure,Ajax,Cricket Clubhouse and Field Renovation,Planning,2023,"The cricket clubhouse and pitch are a component of the Downtown Ajax Sports Campus. The Town has seen an uptake in the interest of cricket due to our growing and diverse population, and this site is the only location in Ajax with a cricket pitch and field. The existing infrastructure, including the field, wicket, site features (including parking lot) and clubhouse, is at the end of its useful life, is inaccessible, and requires replacement as part of the Town's asset management planning.The Clubhouse has not undergone any significant renovation since its construction in 1980. The roof and roof structure require replacement, as well as the interior fitups like the change rooms, washrooms, and kitchen. The facility does not meet accessibility requirements, and improvements to the wicket, practice facilities, spectator seating, parking lot, lighting, security, landscaping, entrances and walkways, signage, fencing and site furniture are required.While the original Ajax Cricket Club members were immigrants from England, it is now a truly multicultural club, serving the Town's diverse population with roots in India, Pakistan, the West Indies, East Africa and Australia. The proposed renovations would allow the Town to accommodate the growing participation and interest in the sport, including by women and girls, and for individuals with accessibility needs.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.835545,-79.02095
4,Recreation,Infrastructure,Armstrong,Rehabilitation of the Township of Armstrong (Earlton) Pool Building Facility,Planning,February 2025,"The main objectives of the project are:To achieve full accessibility ensuring the facility is open to the public free of barriers and designed to provide access to safe, inclusive and functional participation and programming. To optimize the infrastructure in alignment with the AMP and recent Asset Mangement Planning initiative to ensure sustainability in the long term.To respond to the community to invest appropriately in the facility to ensure continuation of quality services.The project involves the rehabilitation of the facility main building, some internal components and entrance to achieve a fully accessible public space. The scope includes final design and renovation, building on the existing foundation, to include the building (changerooms, washroom facilities, mechanical room, reception/office area), internal boiler and plumbing upgrade and improvements to the approach and entrance to connect to access routes of the public parkland space and parking area.The project will ensure the continuation and programming of recreation and leisure activities such as public access to the pool, aquatics lessons, fitness, life saving, etc. for the immediate population of 1166 (2016 Census) and surrounding area of approximately 4,399. It is expected the refurbished facility will attract more of the senior population and will be attractive to the community and outlining population with a greater ability to offer programs geared to seniors and health and fitness.",,Timiskaming,Northeast,35 Tenth Street/Rue,P0J1E0,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,47.712844,-79.827977
5,Recreation,Infrastructure,Arran-Elderslie,Paisley Town Hall Accessibility Project,Complete,June 2022,"To install an accessibility lift that spans the three levels of the Town Hall.To enhance the building's accessibility and make the building more user friendly.To better utilize the entire facility including the theatre and meeting rooms.To enhance the Municipality's partnership with the building's tenant, Paisley Legion Branch #295, by providing facilities that are open and inclusive.To increase the building's accessibility by installing a lift that will move from the basement of the building through the main, ground floor level and upper level. Each floor has facilities available for usage, all with various sizes and attributes.To assist the current tenant, Paisley Legion, with access to additional space for its members and events that are open to the public.To increase the viability of the historic Town Hall building.Increased capacity to host more functions that are open to the public, specifically the Theatre, located on the upper level of the facility.Additional space utilization potential for events and activities that promote the Royal Canadian Legion mandate.Ensure longterm sustainability of a historic building that is located in the heart of the downtown core.",,Bruce,Southwest,"1925 Bruce Road 10,PO Box 70",N0G1L0,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.306407,-81.272633
6,Recreation,Infrastructure,Asphodel-Norwood,Community Centre Expansion Project,Planning,2023,"To provide accessible, barrier free washrooms, showers and change rooms for the Community CentreTo provide an accessible studio space that can be utilized for diversified uses such as yoga, or a meeting place for seniors/youthTo provide an accessible fitness space geared to all demographics to ensure physical, social and emotional health amongst the residents of Asphodel-Norwood and the 6 neighbouring/bordering municipalities who currently participate at the Community CentreThe Community Centre Expansion Project includes a 3,500 square foot expansion to the Asphodel-Norwood Community Centre.  The expansion will include a 545 square foot diverse studio space a 1,155 square foot fitness space with the remaining 1,800 square feet to provide the space for two separate areas that include accessible showers, accessible change rooms, accessible washrooms and a barrier free vestibule entrance. The fitness space will boast 20 pieces of equipment for all ages.Residents of Asphodel-Norwood and 6 other local municipalities currently utilize the Asphodel-Norwood Community Centre, these include: Township of Selwyn, The Township of Douro-Dummer, The Township of Otonabee-South-Monaghan, The Township of Havelock-Belmont-Methuen, The Municipality of Trent Hills and the Municipality of Marmora and Lake.  The expansion will also be utilized by the residents of the same municipalities. The total population of all seven municipalities is 55,931.",,Peterborough,East,2357 County Road,K0L2V0,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61090/en-nr-pete,44.380622,-77.971954
7,Recreation,Infrastructure,Assiginack,Renovate and Rehabilitate Recreation at Assiginack Fairgrounds,Planning,December 2024,"To increase recreational  and social opportunities  to Manitoulin Island residents by improving existing facilities and creating new  opportunities and filling a community needTo ensure youth, adults and seniors continue to have access and improve their physical and social literacy at no cost and open to the publicTo meet the needs of the community where currently there is a gap in physical /social activity where the community wants access to more activities Good value for moneyTo renovate and rehabilitate the Fairgrounds, the hub of physical and social activity.Upgrade the ball diamond with lighting,  a new storage building, redo the track surface, upgrade inside track grounds w drainage, soil, grass, install soccer nets, hoop golf, fill in ditch, purchase bleachers for outdoor activities, gut back end of arena and turn into multi purpose fitness room, purchase exercise equipment, paint arena boards, build jumping pitts, upgrade sliding hill, build basketball court.No community on the island has recreational facilities all in one location. This would serve Assiginack municipality of 1,500 residents and the whole island of 11,000 people. With renovating the recreational facilities of different sports and the majority of them outdoors, they are accessible anytime to the public at no cost. To be able to adequately host events for the public outside, and  multi purpose fitness room would increase the quality of the community infrastructure significantly.",,Manitoulin,Northeast,156 Arthur Street,P0P1N0,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,45.740546,-81.812333
8,Recreation,Infrastructure,Bancroft,North Hastings Community Hub,Planning,December 2024,"Build an inclusive and accessible Community Hub in the downtown core of the communitySignal confidence to the community by building a new cultural space in the downtown core. Place the Community Hub on the main floor of a 20-unit affordable housing development in partnership with an experienced affordable housing developer makes both projects feasible and sustainable, and represents the alignment of many key findings of the Town's Economic Development Strategic Plan.The scope of the project is a 3-story mixed-use building with each floor comprising approx. 6,000 sq ft.  The ground floor will consist of a 4,000 sq ft Community Hub, which will include the North Hastings Public Library. The Community Hub component (eligible component) includes the construction, fit up, and furnishings as well as basic site improvements. The ineligible component consists of 20 affordable housing units and space to support them.Best practices and market research indicates that new libraries see a substantial rise (between 50 & 100%) in new users. The current facility serves North Hastings, comprised of Bancroft, Faraday, Limerick, Tudor-Cashel, Wollaston, Carlow-Mayo, and Hastings Highlands, as well as Highlands East, Dysart Et Al, South Algonquin, and Addington Highlands. North Hastings has a permanent population of 12 000 people, and the area sees drastic summer population increases.",,Hastings,East,8 Hastings Heritage Way,K0L1C0,,0,Yes,Yes,Yes,,,45.058053,-77.853284
9,Recreation,Infrastructure,Barrie,BNFC Community Centre Upgrades,Planning,2022,"To improve the quality of the community space.To provide access to safe community space for the urban Indigenous populationTo sustain the foundation for culture and community for the urban Indigenous people living in the City of Barrie and surrounding area.Facility upgrades to the parking lot, mechanical, electrical, plumbing, lighting fixtures, wall fixtures, doors and specifically acoustic panels and flooring in the gym.We will increase access to the community space for the urban Indigenous population in the city of Barrie as well as the surround area in Simcoe County.",,Simcoe,Central,175 Bayfield Street,L4M3B4,,0,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.394964,-79.694453
10,Recreation,Infrastructure,Bayham,Straffordville Community Hub Construction & Rehabilitation,Planning,2023,"Construct Hub additions to facilitate all season accessible/equitable structured/unstructured recreation opportunities to meet community needs/promote healthy lifestyles accessible by active modes of transportationProvide enhanced Hub location for the municipality/community groups to provide services where those who require the services feel welcome/safe and empowered to contributeVia an equity lens, informed by AMP, provide recreation opportunities to those who are vulnerable/in needConstruction of a 56’ x 25’ (1,400ft2) community centre extension inclusive of change rooms, canteen, universal washroom and commercial kitchenConstruction of a 56’ x 70’ (3,920ft2) covered open air pavilion with new 4” concrete slab.Construction of a 2,300’ x 6’ accessible walking trail with connection to accessible seating areas at sports fields, playground equipment and facilitiesRehabilitation of pavilion, sport field buildings and upgrade of sport field lighting to LEDThe Community hub enhancements will provide:Amount of new/renovated accessible space: 35,612 m2Number of additional structured/unstructured hours available/year: 1,440 hoursSpace for 13 known (and more unknown) community groups to offer community programming (198 programs in 2018 with 4231 attendees)Service to a catchment area of a minimum of 17,400 persons, over 40% 19 years of age or younger, (35% low/vulnerable income), including Mennonites and temporary farm labourers",,Elgin,Southwest,56169 Heritage Line,N0J1Y0,,0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000326/canada-and-ontario-invest-over-14-million-to-rehabilitate-the-straffordville-community-centre-in-the-municipality-of-bayham,42.748739,-80.78143
