_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Roads and bridges,Infrastructure,Addington Highlands,Matawatchan Road Rehabilitation,Complete,August 2019,"Rehabilitation of Matawatchan Road, from Glenfield Road to the eastern Township boundary.",Increased traffic safety,Lennox and Addington,East,,K0H 1L0,,"$877,500",Yes,Yes,,,,45.107314,-77.160064
2,Roads and bridges,Infrastructure,Adjala-Tosorontio,Concession Road 2 Bridge Replacement Over the Boyne River,Complete,June 2019,Replacement of Concession Road 2 bridge over the Boyne River.,Increased traffic safety,Simcoe,Central,,L9R 1V1,,"$1,708,040",Yes,Yes,,,,44.162398,-79.984178
3,Roads and bridges,Infrastructure,Alfred and Plantagenet,Stormwater Culvert Replacement ,Complete,September 2018,Replace pipes located under Principal Street.,Increased safety and eliminate the weight limits on vehicle using Principal Street. ,Prescott and Russell,East,,,,"$571,647",Yes,Yes,Yes,,,45.570586,-75.146744
4,Roads and bridges,Infrastructure,Alnwick-Haldimand,Replacement of Whitney Road Bridge,Complete,July 2018,"Replacement of the superstructure of the bridge on Whitney Road, including approach roadway work.",Increased traffic safety,Northumberland,East,,,,"$195,034",Yes,Yes,,,,44.146087,-78.031272
5,Roads and bridges,Infrastructure,Amaranth,Bridge #17 Replacement,Complete,July 2018,Replacement of Bridge #17.,Increased Traffic Safety,Dufferin,Central,384140 20th Sideroad,L0N 1L0,,"$1,444,878",Yes,Yes,,,,44.000374,-80.255692
6,Roads and bridges,Infrastructure,Amherstburg,Meloche Road Reconstruction,Complete,December 2017,Reconstruction of Meloche Road.,Increased Traffic Safety,Essex,Southwest,Meloche Rd,,,"$2,000,000",Yes,Yes,,,,42.093385,-83.082883
7,Roads and bridges,Infrastructure,Amherstburg,Reconstruction of Bridge 3012,Planning,2024,"The Project will reconstruct Bridge 3012 in Amherstburg.The Project will remove the existing 40.5 metre bridge and replace it with a new structure by rebuilding the piers and abutment walls, and installing new beams, bridge deck and guiderails. The roadway approaches will also be upgraded to align with the new structure and will involve removal of existing asphalt, installation of additional granular base to raise the grade and new asphalt surface.",,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,0,Yes,Yes,Yes,,,42.174754,-83.03447
8,Roads and bridges,Infrastructure,Armour,Pickerel and  Jack Lake Road Bridge Replacement,Complete,December 2019,Replacement of Pickerel and  Jack Lake Road bridge.,Increased traffic safety,Parry Sound,Northeast,,P0A 1C0,,"$1,098,300",Yes,Yes,,,,45.663689,-79.329534
9,Roads and bridges,Infrastructure,Arran-Elderslie,Replacement of Soper's Bridge,Complete,September 2022,"The Project will replace Soper's Bridge with a new two-lane concrete girder bridge with an approximate span of 10 metres.  Project work will include the removal of the existing structure. Approximately 50 m on each side of the bridge, the approaches will be excavated, soil compacted and replaced to proper grade heights as well as widened to fit the alignment of the new bridge.",,Bruce,Southwest,1925 Bruce Road 10,N0G1L0,,0,Yes,Yes,Yes,,,44.445112,-81.188358
10,Roads and bridges,Infrastructure,Asphodel-Norwood,Reconstruction of a Section of Centre Line Road,Complete,November 2021,"The Project is for the reconstruction of approximately 9 kilometres of Centre Line Road, from County Road 45 to Asphodel 3rd Line in Asphodel-Norwood.The work involves approximately 6 kilometres between Asphodel 4th Line and Asphodel 8th Line of rebuilding the sub-grade, geotechnical base stabilization as required, addressing drainage through ditching and the replacement of approximately 78 culverts, improving sightlines at seven intersections, clearing trees near the roadway, and a double lift of surface treatment, as well as approximately 3 kilometres of maintenance surface treatment along Centre Line Road between Asphodel 3rd Line and Asphodel 4th Line, and Asphodel 8th Line and County Road 45.",,Peterborough,East,2357 County Road,K0L2V0,,0,Yes,Yes,Yes,,,44.338659,-77.99319
